Problem:    Mathprog_caso2
Rows:       574
Columns:    140 (140 integer, 140 binary)
Non-zeros:  1080
Status:     INTEGER OPTIMAL
Objective:  TotalCost = 4500 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 TotalCost                4500                             
     2 OneLanding[AV1]
                                   1             1             = 
     3 OneLanding[AV2]
                                   1             1             = 
     4 OneLanding[AV3]
                                   1             1             = 
     5 OneLanding[AV4]
                                   1             1             = 
     6 OneLanding[AV5]
                                   1             1             = 
     7 OnePlanePerSlot[P1,1]
                                   0                           1 
     8 OnePlanePerSlot[P1,2]
                                   0                           1 
     9 OnePlanePerSlot[P1,3]
                                   0                           1 
    10 OnePlanePerSlot[P1,4]
                                   0                           1 
    11 OnePlanePerSlot[P1,5]
                                   1                           1 
    12 OnePlanePerSlot[P1,6]
                                   0                           1 
    13 OnePlanePerSlot[P1,7]
                                   0                           1 
    14 OnePlanePerSlot[P2,1]
                                   0                           1 
    15 OnePlanePerSlot[P2,2]
                                   0                           1 
    16 OnePlanePerSlot[P2,3]
                                   0                           1 
    17 OnePlanePerSlot[P2,4]
                                   1                           1 
    18 OnePlanePerSlot[P2,5]
                                   0                           1 
    19 OnePlanePerSlot[P2,6]
                                   0                           1 
    20 OnePlanePerSlot[P2,7]
                                   0                           1 
    21 OnePlanePerSlot[P3,1]
                                   0                           1 
    22 OnePlanePerSlot[P3,2]
                                   1                           1 
    23 OnePlanePerSlot[P3,3]
                                   0                           1 
    24 OnePlanePerSlot[P3,4]
                                   0                           1 
    25 OnePlanePerSlot[P3,5]
                                   0                           1 
    26 OnePlanePerSlot[P3,6]
                                   0                           1 
    27 OnePlanePerSlot[P3,7]
                                   0                           1 
    28 OnePlanePerSlot[P4,1]
                                   1                           1 
    29 OnePlanePerSlot[P4,2]
                                   0                           1 
    30 OnePlanePerSlot[P4,3]
                                   0                           1 
    31 OnePlanePerSlot[P4,4]
                                   0                           1 
    32 OnePlanePerSlot[P4,5]
                                   0                           1 
    33 OnePlanePerSlot[P4,6]
                                   1                           1 
    34 OnePlanePerSlot[P4,7]
                                   0                           1 
    35 SlotAvailability[AV1,P1,1]
                                   0                          -0 
    36 SlotAvailability[AV1,P1,2]
                                   0                          -0 
    37 SlotAvailability[AV1,P1,3]
                                   0                          -0 
    38 SlotAvailability[AV1,P1,4]
                                   0                          -0 
    39 SlotAvailability[AV1,P1,5]
                                   0                           1 
    40 SlotAvailability[AV1,P1,6]
                                   0                           1 
    41 SlotAvailability[AV1,P1,7]
                                   0                          -0 
    42 SlotAvailability[AV1,P2,1]
                                   0                          -0 
    43 SlotAvailability[AV1,P2,2]
                                   0                          -0 
    44 SlotAvailability[AV1,P2,3]
                                   0                           1 
    45 SlotAvailability[AV1,P2,4]
                                   0                           1 
    46 SlotAvailability[AV1,P2,5]
                                   0                          -0 
    47 SlotAvailability[AV1,P2,6]
                                   0                          -0 
    48 SlotAvailability[AV1,P2,7]
                                   0                          -0 
    49 SlotAvailability[AV1,P3,1]
                                   0                           1 
    50 SlotAvailability[AV1,P3,2]
                                   1                           1 
    51 SlotAvailability[AV1,P3,3]
                                   0                           1 
    52 SlotAvailability[AV1,P3,4]
                                   0                          -0 
    53 SlotAvailability[AV1,P3,5]
                                   0                          -0 
    54 SlotAvailability[AV1,P3,6]
                                   0                           1 
    55 SlotAvailability[AV1,P3,7]
                                   0                          -0 
    56 SlotAvailability[AV1,P4,1]
                                   0                           1 
    57 SlotAvailability[AV1,P4,2]
                                   0                          -0 
    58 SlotAvailability[AV1,P4,3]
                                   0                          -0 
    59 SlotAvailability[AV1,P4,4]
                                   0                          -0 
    60 SlotAvailability[AV1,P4,5]
                                   0                           1 
    61 SlotAvailability[AV1,P4,6]
                                   0                           1 
    62 SlotAvailability[AV1,P4,7]
                                   0                          -0 
    63 SlotAvailability[AV2,P1,1]
                                   0                          -0 
    64 SlotAvailability[AV2,P1,2]
                                   0                          -0 
    65 SlotAvailability[AV2,P1,3]
                                   0                          -0 
    66 SlotAvailability[AV2,P1,4]
                                   0                          -0 
    67 SlotAvailability[AV2,P1,5]
                                   0                           1 
    68 SlotAvailability[AV2,P1,6]
                                   0                           1 
    69 SlotAvailability[AV2,P1,7]
